1,3925,4135,114,1868,2367,3250
2,1678,2035,4498,3257,668,3554
3,5026,5134,766,3013,2473,585
4,3598,3256,1351,1458,2156,2085
5,115,2761,4185,5250,4669,3189
6,2551,971,2144,100,599,253
7,2489,692,701,2141,5274,2204
8,4159,4643,3859,4711,1662,1280
9,1388,751,2073,1671,840,4698
10,668,585,3598,2761,4135,2473
11,4185,100,2156,1458,4498,766
12,1868,5274,5250,5134,3554,2085
13,4669,2144,114,2551,3257,4711
14,2204,4643,2035,5026,2367,3256
15,3189,701,3250,1662,2073,1678
16,2489,840,253,3925,1351,3859
17,2141,1388,599,4159,3013,751
18,1671,971,692,1280,4698,115
19,4135,5026,1458,5274,2761,114
20,668,100,4669,701,1868,2204
21,585,3256,766,4711,840,3859
22,1351,2085,2473,2141,3925,3554
23,4498,2489,1388,971,5134,1662
24,3013,3189,115,1280,2144,599
25,3257,4643,692,5250,2073,2156
26,4698,2551,1678,2367,4159,4185
27,1671,3250,751,2035,3598,253
28,840,2204,1388,2085,2761,971
29,2489,3554,3256,3013,701,114
30,100,4643,1868,5026,115,2141
31,1662,2473,1458,4135,2073,4698
32,253,2367,751,4498,2156,692
33,3257,1280,3189,4711,585,1351
34,2551,599,4669,5134,3250,3925
35,2035,1671,4159,5274,4185,3859
36,5250,3598,2144,1678,668,766
37,2489,2073,115,4135,3256,1388
38,2367,2141,100,3189,2085,1662
39,3250,5026,1351,4498,971,4711
40,3257,5274,840,253,2473,4185
41,4698,5250,3859,3013,2144,2204
42,114,5134,668,1671,701,766
43,1280,2156,2551,1868,3554,3598
44,4159,3925,4669,692,1458,2035
45,599,2761,585,1678,4643,751
46,1388,3189,2367,3859,2473,100
47,2085,2073,5026,1671,2141,114
48,5250,3554,4711,2489,4135,3598
49,2144,5134,701,2156,840,4159
50,599,4498,5274,4698,3256,4669
51,3257,2761,2035,585,2551,1868
52,692,1678,3250,3013,4643,1458
53,4185,3925,971,1351,668,751
54,1280,2204,253,1662,766,115
55,3598,2156,5134,2489,3189,100
56,2551,701,840,5026,4698,1388
57,2073,2141,4498,1678,3859,2761
58,114,751,971,3013,4669,2035
59,3250,4185,5250,3256,2473,1280
60,4711,2367,115,5274,668,1458
61,3257,1351,1868,4159,766,692
62,2204,599,2085,4135,585,253
63,1662,4643,3554,3925,1671,2144
64,2035,2073,3859,3598,4185,3013
65,1388,668,2156,3250,2141,4669
66,1868,766,971,5274,1678,2489
67,585,2367,2085,1280,701,4159
68,3554,2761,1351,100,115,5134
69,114,253,4698,3256,4643,3189
70,2144,4498,3257,2204,1458,3925
71,1671,2473,4711,599,840,692
72,4135,1662,5250,2551,751,5026
73,1280,100,585,5274,2073,4669
74,3013,3859,253,1868,668,2761
75,4159,2204,4698,3554,3250,2156
76,3925,4711,3256,1388,1671,1678
77,840,2035,2367,5250,599,1351
78,4498,114,5026,2473,2144,115
79,2141,701,1662,3257,3598,971
80,4185,5134,692,2085,4643,4135
81,3189,1458,751,2489,766,2551
82,2761,3013,3250,5274,2156,3925
83,1280,1671,2073,1351,4498,2204
84,1678,4159,115,100,840,114
85,2367,3598,599,3257,4185,5026
86,2085,3256,692,2551,668,1662
87,4135,3859,766,701,4669,4643
88,3554,1458,585,5250,1388,971
89,4711,253,2144,5134,2141,751
90,4698,2473,3189,1868,2489,2035
91,1662,2156,2204,114,4185,599
92,840,766,3013,4498,4135,3250
93,5274,4643,1351,1388,3598,2551
94,4669,692,253,5026,1678,3554
95,5250,2473,3925,701,4711,100
96,971,2489,668,2073,3189,4159
97,1458,2141,1280,585,2035,5134
98,1671,1868,3256,2761,2367,2144
99,3859,2085,115,3257,4698,751
100,3013,5274,1662,840,1351,4669
101,3598,114,4159,5250,253,4498
102,3925,668,3189,1280,4643,5026
103,2489,2144,4185,1388,585,692
104,1671,100,4135,3250,3257,3256
105,2141,2761,766,3554,4698,2367
106,5134,2551,2473,2204,971,3859
107,1868,599,751,2073,1458,701
108,1678,4711,2085,2035,115,2156
