1,4543,2489,692,604,295,1868
2,670,2135,5027,4765,192,115
3,1700,2473,4186,852,4904,1967
4,100,1388,5311,841,3256,5023
5,2144,846,1280,3669,4990,1323
6,2854,5026,114,2141,668,5171
7,2813,254,2035,1072,1662,751
8,766,4171,4255,840,4047,1678
9,256,5104,3045,971,2367,8
10,581,1351,4990,368,3482,1323
11,5171,2473,846,4186,2141,100
12,5026,852,4543,1967,2854,192
13,4255,3669,670,4904,1868,841
14,604,5311,4047,971,1678,1388
15,115,840,581,692,2813,1700
16,751,256,2367,2135,1280,5023
17,1351,368,114,4171,5104,1072
18,2035,8,2489,2144,766,4765
19,3256,5027,668,3482,295,254
20,1662,2141,852,3045,4255,692
21,1868,2854,2135,4047,846,581
22,4186,192,256,114,1072,3669
23,1323,4171,1351,4904,971,2489
24,5023,5104,5026,2813,3482,841
25,115,5311,295,1967,3045,2035
26,1662,766,670,8,100,4543
27,668,2473,751,3256,4765,4990
28,1280,2367,1700,2144,1678,254
29,368,5027,5171,840,1388,604
30,1967,3669,2813,2489,114,3482
31,4047,4186,5026,4543,670,115
32,766,3256,5104,1351,1662,192
33,2141,841,1678,4990,2035,751
34,256,4904,2135,1868,668,368
35,4171,5171,3045,692,1280,5027
36,852,581,4255,295,2144,1388
37,1323,1700,2854,5023,5311,2473
38,840,971,1072,4765,100,2367
39,8,604,1967,846,254,2135
40,1280,1678,2489,692,114,115
41,2144,2035,668,5104,1351,4543
42,4990,5027,4186,256,5026,4255
43,4047,2141,2813,100,3256,4904
44,295,2854,8,751,840,4171
45,3482,1662,5311,670,604,852
46,5171,4765,1700,3669,841,2367
47,971,846,1323,5023,254,368
48,581,3045,2473,192,1868,766
49,1072,2135,100,1388,1280,4990
50,2144,604,3256,2141,2854,4171
51,1967,1351,4186,841,8,692
52,5023,1678,1662,295,368,3669
53,581,5104,5027,2473,4047,670
54,3482,852,115,5171,971,256
55,2489,846,4765,4255,5311,192
56,1868,751,1323,840,766,5026
57,2367,254,1388,114,4904,2035
58,668,1700,4543,1072,2813,3045
59,670,692,3256,2144,2135,971
60,4765,1967,841,1280,604,581
61,5311,368,751,4186,4255,5171
62,3669,115,5023,1351,254,2473
63,766,256,1388,846,2854,2813
64,1662,4543,4904,114,840,4990
65,8,1072,852,5027,1323,1678
66,2035,100,4171,5026,1700,1868
67,2489,192,4047,3482,668,2367
68,5104,295,4186,3045,2141,2135
69,4904,604,2473,256,5311,2144
70,115,4255,841,2854,1072,766
71,4990,1678,2813,1868,1967,5171
72,4047,1280,368,2035,852,192
73,1388,4543,3482,254,4171,4765
74,3669,971,3256,5026,581,8
75,2141,840,5023,668,2489,670
76,751,846,1351,1662,1700,5027
77,295,100,692,2367,114,1323
78,3045,4904,2854,5104,1678,4765
79,766,2135,2813,3669,5311,4171
80,3256,852,1868,5023,604,1072
81,2035,1662,256,5171,581,2489
82,3482,1280,8,4255,1700,2141
83,4543,971,114,5027,841,2473
84,115,4186,1323,668,1388,5104
85,368,1967,692,100,751,4047
86,3045,295,2367,4990,670,846
87,840,192,254,2144,5026,1351
88,1678,114,4255,581,5023,4543
89,604,971,766,668,1280,4186
90,692,3669,4904,5027,2854,2035
91,4990,368,5104,1700,3256,2489
92,192,841,2135,1323,254,1662
93,751,2144,3482,3045,100,115
94,1072,1967,1388,256,670,2141
95,4765,1351,4047,5171,295,5026
96,2813,4171,8,852,2367,2473
97,1868,840,692,846,5311,5104
98,604,114,3045,3256,4255,1323
99,1388,2141,751,3669,4543,192
100,841,1700,1072,295,256,4047
101,100,581,254,852,4186,2489
102,5311,2367,1868,115,5027,5026
103,2854,368,670,2813,1280,1351
104,971,4171,668,846,1967,1662
105,4904,5171,4990,8,5023,766
106,2473,1678,2035,2135,840,3482
107,4765,1868,4186,2144,4047,114
