matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
62,599,0,0,0,0,0,0,0,0,3,0,1,32,0,1,0,0,0,1,64,64,32,0,0,0,1,Red2
17,599,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Red3
85,599,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
71,599,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,1,1,4,0,0,0,0,Blue4
6,599,0,0,0,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,2,1,4,0,0,0,0,Blue5
77,599,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,16,32,32,0,0,0,0,Blue5
24,599,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,16,1,32,0,0,0,0,Blue6
91,599,0,0,1,0,1,0,0,0,1,0,3,64,0,1,0,0,0,1,64,64,128,0,0,0,0,Blue6
2,1678,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,2,0,3,1,64,128,0,0,0,0,Red1
84,1678,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,64,1,32,0,0,0,0,Red1
52,1678,0,0,1,1,1,0,0,0,1,0,0,256,4,1,0,0,0,0,128,16,256,0,0,0,0,Red2
26,1678,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,8,16,32,0,0,0,1,Red3
36,1678,0,0,1,0,2,0,0,0,1,0,0,64,0,0,0,2,0,1,128,16,64,0,0,0,0,Blue4
45,1678,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,8,8,16,0,0,0,1,Blue4
57,1678,0,0,1,1,1,0,0,0,1,0,0,16,0,3,0,2,0,2,256,64,128,0,0,0,0,Blue4
66,1678,0,0,1,0,2,0,0,0,1,0,5,256,0,0,1,5,0,0,256,4,256,0,0,0,1,Blue5
94,1678,0,0,1,1,1,0,0,0,1,0,4,64,0,0,2,3,0,0,128,1,128,0,0,0,0,Blue5
