(matchnum, 12), (teamnum, 2643), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 4), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 16), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 13), (teamnum, 4255), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 2), (Defense_Rating, 4), (Driver_Rating, 2), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 14), (teamnum, 2813), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 1), (Truss, 2), (Possess_Number, 4), (Possession_Rating, 64), (3_Assist, 0), (2_Assist, 2), (Tele_High_Miss, 1), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 0), (Pickup_Rating, 32), (Defense_Rating, 32), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 1), 
(matchnum, 15), (teamnum, 5026), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 4), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 1), (Defense_Rating, 2), (Driver_Rating, 2), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 16), (teamnum, 766), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 2), (Possession_Rating, 2), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 1), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 8), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 17), (teamnum, 840), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 4), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 4), (Defense_Rating, 4), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 18), (teamnum, 4159), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 1), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 0), (Possess_Number, 2), (Possession_Rating, 64), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 32), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 19), (teamnum, 4990), (Auto_Missed_High, 0), (Auto_Missed_Low, 1), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 16), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 32), (Defense_Rating, 32), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 20), (teamnum, 256), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 4), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 1), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 32), (Defense_Rating, 2), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 1), 
(matchnum, 21), (teamnum, 670), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 2), (Possess_Number, 3), (Possession_Rating, 32), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 1), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 64), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
