1,5063,4083,4451,4073,1051,4823
2,1758,2614,3976,2641,4576,2974
3,2815,4243,343,2059,4468,3571
4,4901,1287,4582,4748,4074,1539
5,2187,900,3490,5130,5317,4075
6,3196,346,5020,1311,4902,4533
7,2655,1225,5337,5327,3459,342
8,1772,4267,1413,4935,2200,4452
9,1398,4847,4516,1648,4489,3140
10,4505,4976,1024,1553,3489,1293
11,3824,1319,1876,4965,5180,1261
12,281,4074,1311,343,2641,2187
13,4267,2815,4748,5327,4576,4451
14,4489,4935,1758,4902,1287,5317
15,4075,3196,2974,4516,1539,1413
16,1051,2059,1319,1398,1293,1648
17,4452,3824,1225,4901,4976,4823
18,3459,3140,1772,1876,900,1553
19,4083,5020,4965,1024,4243,2655
20,5337,2200,3976,3489,5180,3571
21,1261,346,4073,3490,4468,4847
22,4582,342,2614,4505,4533,5130
23,5063,900,2059,281,1413,3824
24,1311,4576,1024,4823,1225,1539
25,2815,4075,4901,2200,1758,2655
26,1293,5327,343,4083,3196,4935
27,5020,5180,2641,3490,5317,4451
28,5063,4902,3489,4267,4965,1648
29,281,4073,3571,4582,4505,1876
30,1261,4074,4243,2614,5130,4489
31,4847,1051,1772,1287,2974,1319
32,4976,4748,4533,4468,3976,3140
33,342,5337,1398,2187,346,1553
34,4452,4516,5020,3459,4073,4576
35,3196,5180,5130,4823,2059,2655
36,3571,2614,1648,1225,5317,1293
37,1758,343,1413,4582,3489,4847
38,4468,1398,1311,1772,5337,4901
39,1876,5327,4902,1024,4074,4452
40,1539,1319,4075,3459,3976,4451
41,4505,1287,2200,2187,4083,1261
42,4267,1051,1553,2641,4748,4489
43,281,3140,900,4965,342,2815
44,5063,4935,4976,2974,4533,3490
45,4516,4243,1648,3824,346,1772
46,4576,1398,4083,4074,5180,1413
47,2059,4452,4489,4451,4505,5020
48,4267,4582,900,1225,3196,1319
49,5130,3571,1261,5327,1758,1311
50,2187,4073,1024,4935,4901,3976
51,4533,343,5317,4075,1051,1876
52,1293,1287,2655,346,3140,5063
53,1539,1553,2815,4847,4823,2614
54,3459,3490,4243,281,3489,2200
55,4976,2641,4965,4748,5337,4516
56,2974,4902,4468,342,3824,4083
57,1758,346,1225,2059,3140,5180
58,1287,4073,1311,1413,1553,4075
59,4576,4823,1772,2655,4505,3571
60,4901,4516,4965,3490,343,2614
61,342,3489,1539,5063,2641,4452
62,4074,4489,2200,1319,900,4976
63,3459,1261,4533,1293,2815,4902
64,281,2974,4451,1648,5130,1024
65,5327,4582,1051,4468,5020,2187
66,3976,5317,4847,3824,4267,5337
67,1398,4748,4935,3196,4243,1876
68,1553,4452,4533,1758,4083,1319
69,4965,5130,4451,1225,1287,1772
70,5327,4823,4075,4489,346,3489
71,4976,5180,281,1539,4902,1051
72,2187,1293,2059,4516,4267,1876
73,2200,2614,3459,3824,1024,1398
74,4847,4901,1413,3571,5020,342
75,4505,2815,3490,3976,4074,3196
76,4935,4468,1648,1311,2641,900
77,4748,2974,5317,1261,2655,343
78,3140,4243,5337,5063,4582,4576
79,4073,1539,4533,2200,5327,2059
80,346,4083,2614,4976,4267,3571
81,4823,1648,1876,3976,342,1287
82,1225,1398,2641,4847,4075,4902
83,1051,3489,3196,4901,1261,4576
84,2974,4452,900,1311,1293,4243
85,3140,5130,343,1319,5337,4073
86,3824,3490,4582,4489,1024,2815
87,1413,4468,5317,4965,4505,3459
88,2655,1553,4074,4451,4516,4935
89,5180,1758,1772,4748,2187,5063
90,5020,4823,1261,281,1398,4267
91,1876,2641,4901,346,5130,2815
92,4576,2200,4965,2974,5327,4847
93,4516,3571,1287,1024,900,4533
94,4748,1311,3459,2059,3490,4083
95,2187,2655,1319,1413,4902,4243
96,4074,5337,1648,5020,1758,1539
97,4505,3489,3824,3140,4935,1051
98,342,1772,3196,4976,4073,5317
99,4075,281,4468,2614,5180,4452
100,1553,4489,3976,5063,1225,343
101,4451,1293,4823,4582,1311,2200
